DWG52,Intolerance,1916,Griffith,Griffith,SL:USA,bws,"Epic, Dram",H***,"T(1910, 20AD, 1572,1000BC)","W(Griffith) CoD(vonStroheim, T.Browning, vanDyke) C(Billy Bitzer, Karl Brown) Nt(with coloring) Le(2h)",|
DWG53,Hearts of the World,1918,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG55,The Greatest Question,1919,Griffith,PN:,SU:,bws,Dram,aw,lc,,|
DWG57,Broken Blossoms,1919,Griffith,Griffith,SU.A.,bws,Dram,H**,,W(Griffith) B(Thomas Burke: The Chink and the Child) W(Billy Bitzer),|
DWG58,True Heart Susie,1919,Griffith,,SU:,bws,Romt,,,,|
DWG64,Way Down East,1920,Griffith,Griffith,SGriffith,"silent, col",Dram,H**,"ice floe, csd, US","W(Billy Bitzer, Hendrik Sartov)",|
DWG66,One Exciting Night,1922,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG67,Orphans of the Storm,1922,Griffith,PN:,SU.A.,sbw,Epic,H*,"Paris, France T(1789)",Le(2h) W(Griffith),|
DWG71,America,1924,Griffith,Griffith,SU.A.,"sbw,bnw","West,Dram",,H**,USA; T(1770),C(G.W. Bitzer) W(John L.ER. Pell) B(Robert W. Chambers),|
DWG72,Isn't life Wonderful,1924,Griffith,PN:,SGriffith,sbw,"Dram,Docu",,Germany; T(1919),,|
DWG75,Screen Snapshots,1926,Griffith,PU:,SU:,prc,Ctxx,,lc,"Er(D, 19xx)",|
DWG80,Abraham Lincoln,1930,Griffith,PN:Joseph Schenck,SU.A.,,BioP,W50,"town, IL; Washington, DC V(Menzies)",|
Z0210,Romeo and Juliet,1908,Unknown2,PN:,SL:USA,bws,Romt,aw,lc,,|
Z0220,Romeo and Juliet,1908,Unknown2,PN:,Lang(\It),bws,Romt,aw,lc,,|
Z0230,Romeo and Juliet,1908,Unknown2,PN:,SL:\GB,bws,Romt,aw,lc,,|
Z0240,Romeo and Juliet,1911,Unknown2,PN:,SL:USA,bws,Romt,aw,lc,,|
Z0250,Romeo and Juliet,1911,Unknown2,PN:,SL:\It,bws,Romt,aw,lc,,|
Z0260,Romeo and Juliet,1916,Unknown2,PN:,SU:,bws,Romt,aw,lc,,|
Z0270,Romeo and Juliet,1916,Unknown2,PN:,SU:,bws,Romt,aw,lc,,|
Z0280,Romeo and Juliet,1996,Unknown2,PU:,SU:,col,Romt,aw,,,|
EiC10,Le Binetoscope,1909,Cohl,PN:,SGaumont,prc,Cart,aw,lc,Le(shorts),|
GdL10,"Marin Valiero, Doge of Venice",1909,deLiguoro,PN:,SSaffiComerio,bws,Hist,aw,"Venive, Italy",Le(14min),|
MCs2,The Pilgrim's Progress,1912,Caserini,PN:,SAmbrosio,bws,Dram,aw,,,|
MCs3,Macbeth,1913,Caserini,PN:,SCines,bws,Dram,aw,,B(Shakespeare),|
MCs10,Love Everlasting,1913,Caserini,PN:,SArtistica Gloria,bws,Dram,aw,"Wallenstein; Paris, France",Seen(25Feb1995),|
WMk10,Gertie the Dino,1909,Mackay,PN:,SU:,bws,Cart,aw,"T(1,000,000BC)",,|
FkP10,All on Account of Milk,1910,F.Powell,PN:,SBiograph,bws,Romt,aw,lc,C(Arthur Marvin),|
GlS10,The Merchant of Venice,1910,loSavio,PN:,SFilm d'Arte Italia,bws,Dram,aw,"Venice, Italy",Le(8min; incomplete) B(Shakespeare),|
ISB10,Life of Moses,1910,Blackton,PN:,SVitagraph,"col, silent",Biop,aw,lc,"Le(4 reels, 18m remaining)",|
ThB10,The Old Curiosity Shop,1913,Bentley,PN:,SU:,bws,Dram,aw,lc,B(Dickens),|
ThB30,The Old Curiosity Shop,1921,Bentley,PN:,SU:,bws,Dram,aw,lc,B(Dickens),|
ThB50,Young Woodley,1930,Bentley,PN:,SU:,prc,Ctxx,aw,lc,,|
ThB55,Hobson's Choice,1931,Bentley,PN:,SBIP,,prc,Dram,aw,lc,,|
ThB65,Those Were the Days,1934,Bentley,PN:,SU:,prc,Ctxx,aw,lc,,|
ThB70,The Old Curiosity Shop,1935,Bentley,PN:,SU:,bnw,,,,B(Dickens),|
ThB80,Lucky to Me,1939,Bentley,PN:,SU:,prc,Ctxx,aw,lc,,|
UgF10,Salome,1910,Falena,PN:,SFilm d'Arte Italiana,bws,Dram,aw,lc,Le(10min),|
UgF12,Francesca di Rimini,1911,Falena,PN:,"SFilm d'Arte Italiana, Film d'Art Paris",bws,Romt,aw,lc,B(Dante) Le(10min),|
APv10,Dante's Inferno,1911,Padovan,PN:,SMilano Films,prc,Ctxx,aw,lc,"B(Dante) CoD(Francesco Bertolini, Guiseppe diLiguoro) Le(30min)",|
APv11,Homer's Odyssey,1911,Padovan,PN:,SMilano Films,prc,Advt,aw,lc,B(Homer) CoD(Francesco Bertolini) Le(6min),|
AuB10,The Vampire Dancer,1911,Blom,PN:,SGreat Northern,bws,Dram,aw,lc,WValdemar Hansen) Le(24m),|
LcP15,L'Enfant de Paris,1913,Perret,PN:,SU:,prc,Ctxx,aw,lc,Le(115min),|
OrM10,Clios and Phyletes,1911,Mentasti,PN:,SItala,bws,Ctxx,aw,lc,Le(21min),|
ThI10,Little Dove's Romance,1911,Th.Ince,PN:,SBison,bws,West,,West,Le(15m),|
ThI18,Battle of the Red Men,1912,Th.Ince,PN:,SBison,bws,West,H-,lc,Le(14m; incomplete),|
ThI20,Custer's Last Fight,1912,Th.Ince,PN:,SU:,bws,CTxx,H-,lc,,|
ThI33,The Death Mask,1914,Th.Ince,Th.Ince,SKay Bee Columbia,bws,West,,West,Er(D),|
ThI40,Civilization,1915,Th.Ince,PN:none,STriangle,bws,Fant,H***,battlefields,Nt(sound added 1931),|
ThI60,Human Wreckage,1924,Th.Ince,PN:,SU:,prc,CTxx,H-,lc,,|
ThI65,Custer's Last Fight,1925,Th.Ince,Th.ince,SQuality Amusememt Inc.,bws,West,,West,Le(50min),|
UrG10,The Aviator's Generosity,1911,Gad,PN:,SGreat Northern,bws,Dram,aw,lc,W(Christian Nobel) Le(29m),|
WmH10,A Tale of Two Cities,1911,Humphrey,PN:,SU:,bws,Dram,aw,,B(Dickens),|
ADw5,Maiden and Men,1912,Dwan,PN:,SAMF,bws,Dram,,lc,W(G.P. Hamilton) Le(15m),|
ADw6,Their Hero Son,1912,Dwan,PN:,SAMF,bws,Dram,,lc,W(G.P. Hamilton) Le(14m),|
ADw17,Robin Hood,1922,Dwan,Fairbanks~sr,SU:,bws,Advt,H**,England,"V(Wilfred Buckland, Anton~Grot)",|
ADw22,The Iron Mask,1922,Dwan,Fairbanks~sr,SU.A.,"bnw,bws",Advt,,,"Nt(part sound, music)",|
ADw27,Manhandled,1924,Dwan,PN:William leBaron,SParamount,bws,Romt,,,,|
ADw35,Heidi,1937,Dwan,R.Griffith,SFox,cld,Romt,"H*csd, Austria",,|
ADw40,Rebecca of Sunnybrook Farm,1938,Dwan,R.Griffith,SFox,bnw,Dram,H,"csd, USA",,|
ADw41,Suez,1938,Dwan,D.Markey,SFox,bnw,,H*,Egypt,C(Pev~Marley;AAN) M(Louis Silvers; AAN) W(Ph.Dunne),|
ADw45,The Three Musketeers,1939,Dwan,R.Griffith,SFox,bnw,Actn,"H**, [47]",France,B(Dumas),|
ADw52,Around the World,194e,Dwan,Dwan,SRKO,bnw,Musc,aw,"mil.inst., Pacific; Europe T(1943)",,|
ADw60,Sands of Iwo Jima,1949,Dwan,PN:Edward Grainger,SU:,prc,Actn,aw,"mil.inst., Pacific; T(1945)","W(Harry Joe Brown, James Edward Grant, Milestone)",|
ADw70,Cattle Queen of Montana,1954,Dwan,Bogeaus,SRKO,\Tcol,West,H,"ranch, MT",,|
ADw72,Passion,1954,Dwan,Bogeaus,SRKO,\Tcol,West,,CA; T(1840),,|
ADw75,Tennessee's Partner,1954,Dwan,Bogeaus,SRKO,\Tcol,West,,CA; T(1850),,|
ADw78,Pearl of the South Pacific,1955,Dwan,Bogeaus,SRKO,\Tcol,Advt,,"island, Pacific",,|
ADw80,Slightly Scarlet,1956,Dwan,,SRKO,col,Dram,,"city, Midwest",W(Robert Blees) B(J.M.Caine),|
AEG25,The Ghost Breaker,1922,A.E.Green,PN:,SParamount,bws,,,|
AEG37,Baby Face,1933,A.E.Green,PN:,SU:,bnw,Dram,,|
AEG39,I Loved a Woman,1933,A.E.Green,Blanke,SWarners,bnw,,H*,|
AEG41,Dangerous,1935,A.E.Green,PN:Harry Joe Brown,SWarners,bnw,Dram,H*,lc,,|
AEG50,The Gracie Allen Murder Case,1935,A.E.Green,PN:,SU:,bnw,Myst,,,B(S.S. VanDine:Philo Vance),|
AEG60,The Jolson Story,1946,A.E.Green,PN:Sidney Skolsky,SColumbia,\Tcol,"BioP,Musc",H****,"theater, NYC, NY",M(Morris Stoloff; AA) C(Joseph Walker; AAN),|
AEG70,The Eddie Cantor Story,1953,A.E.Green,PN:Sidney Skolsky,SWarners,\Tcol,"BioP,Musc",H,"theater, NYC, NY",M(Ray Heindorf),|
JCw16,Step On It,1922,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw41,Bringing Up Father,1928,Conway,PN:,SU:,,Comd,|
JCw44,Our Modern Maidens,1929,Conway,PN:,SU:,bws,Romt,aw,"parties, USA",,|
JCw47,The Unholy Three,1930,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw50,Just a Gigolo,1931,Conway,,SMGM,bnw,Comd,H,lc,,|
JCw51,Ars\`ene Lupin,1932,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw53,Red-headed Woman,1932,Conway,PN:,SU:,prc,Dram,aw,lc,W(Anita Loos) B(Katherine Brush),|
JCw57,Viva Villa,1934,Conway,PN:,SMGM,bnw,Epic,aw,Mexico,"W(Ben Hecht, Hawks) CoD(Hawks; fired)",|
JCw61,A Tale of Two Cities,1935,Conway,PN:Selznick,SMGM,bnw,Dram,"H**, AAN, [47]",England; France; T(1780),B(Dickens),|
JCw62,Libeled Lady,1936,Conway,PN:Lawrence Weingarten,SMGM,bnw,Romt,"F77,H**, AAN",|
JCw63,Sarasota,1937,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw64,A Yank at Oxford,1938,Conway,PN:,SU:,prc,Ctxx,aw,lc,W(Gilliat),|
JCw65,Too Hot To Handle,1938,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw67,Lady of the Tropics,1939,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw68,Boom Town,1940,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw69,Love Crazy,1940,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw70,Honky Tonk,1940,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw73,Dragon Seed,1944,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JCw75,The Hucksters,1947,Conway,PN:,SU:,prc,Ctxx,aw,lc,,|
JDu10,Comedy of the absurd,1912,Durand,PN:,SGaumont,prc,Comd,aw,lc,Le(shorts),|
MaT10,Alias Jimmy Valentine,1915,M.Tourneur,PN:World,SU:,bws,CnR,aw,lc,,|
MaT25,The Pride of the Clan,1917,M.Tourneur,PN:,SU:,bws,Dram,aw,lc,,|
MaT27,Poor Little Rich Girl,1917,M.Tourneur,PN:,SU:,bws,Dram,aw,lc,,|
MaT40,Au nom de la loi,1931,M.Tourneur,PU:,SU:,prc,CnR,,lc,,|
LMe10,Queen Elizabeth,1912,Mercanton,PN:,"SEngadine Amusement Co, SL:\Fr, SD:Famous",bws,BioP,,"court, England",,"Le(40m, 4 reels)",|
LoW3,How Men Propose,1913,Weber,PN:,SCrystal,sbw,Dram,,Le(6m) W(Lois Weber),|
LoW5,Where are My Children,1916,Weber,PN:,SUniversal,sbw,Dram,,,CoD(Phillips Smalley) W(Lois Weber),|
LoW5,Where are My Children,1916,Weber,PN:,SUniversal,sbw,Dram,,,CoD(Phillips Smalley) W(Lois Weber),|
LoW10,The Dumb Girl of Portici,1916,Weber,PN:,SUniversal,sbw,|
LoW11,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",1916,Weber,PN:,SUniversal,sbw,|
LoW20,The Dance of Love,1920,Weber,PN:,SUniversal,sbw,|
LoW21,Shoes,1920,Weber,PN:,SUniversal,sbw,|
ME40,Nelson,1919,Elvey,PN:,SU:,prc,Ctxx,aw,lc,Er(1919),|
ME60,The Elusive Pimpernel,1912,Elvey,PN:,SU:,prc,CTxx,,France,|
ME100,The Hound of the Baskervilles,1921,Elvey,PN:,SU:,prc,CTxx,,"csd, England",|
MEl130,Balalava,1928,Elvey,PN:,SU:,prc,Ctxx,aw,lc,,|
MEl150,The School for Scandal,1930,Elvey,PN:,SU:,prc,Ctxx,aw,lc,,|
ME180,The Lodger,1932,Elvey,PN:,SU:,bnw,Susp,,"London, England",|
ME200,The Tunnel,1934,Elvey,PN:,SU:,prc,Ctxx,aw,lc,,|
ME240,The Spider,1940,Elvey,PN:Victor M. Greene,SAdmiral,bnw,Susp,H,"train, England",,|
ME270,Beware of Pity,1946,Elvey,PN:,SU:,prc,Ctxx,aw,lc,,|
ME300,My Wife's Lodger,1952,Elvey,PN:,SU:,prc,Ctxx,aw,lc,,|
MSe10,Dough and Dynamite,1914,Mack~Sennett,PN:Mack~Sennett,SKeystone,bws,Comd,aw,lc,W(Mack~Sennett) Le(33m) Nt(no D named),|
MSe15,Fatty and Mabel at the San Diego Exposition,1915,Mack~Sennett,PN:Mack~Sennett,SKeystone,bws,Comd,aw,"San Diego, CA",W(Mack~Sennett) Le(30m) Nt(no D named),|
MSe18,Fatty and Mabel's Simple Life,1915,Mack~Sennett,PN:Mack~Sennett,SKeystone,bws,Comd,aw,"San Diego, CA",W(Mack~Sennett) Le(14m) Nt(no D named),|
MSt10,Vampyren,1912,M.Stiller,PN:,SU:,prc,Ctxx,aw,lc,,|
MSt20,Sir Arne's Treasure,1919,M.Stiller,PN:,SU:,prc,Ctxx,aw,lc,,|
MSt30,Erotikon,1920,M.Stiller,PN:,SSvensk Film Industri,bws,"Comd, Dram",H*,Sweden,|
MSt40,The Saga of Gosta Berlin,1924,M.Stiller,PN:,SU:,,Romt,,Sweden,|
MSt50,The Blizzard,1926,M.Stiller,PN:,SL:USA,|
MSt53,The Temptress,1927,M.Stiller,PN:,SMGM,bws,Dram,H*,"Paris, Francs; csd, Argentinia","W(Dorothy Farnum) CoD(Niblo, Humberstone) Seen(15Apr1990) (Dod(garbo))",|
MSt55,Hotel Imperial,1927,M.Stiller,PN:,SU:,prc,CTxx,,hotel,|
MSt60,Street of Sin,1928,M.Stiller,PN:,SU:,prc,Ctxx,aw,lc,,|
SiO10,From the Manger to the Cross,1912,Olcott,PN:,SKalem,bws,Hist,aw,Palestine,W(Gene Gauntier) Cost(100K+),|
SiO30,Monsieur Beaucaire,1924,Olcott,PN:,SZokor-Lasky,bws,Hist,aw,Palestine,W(Forrest Halsey) B(Booth Tarkinton) C(Harry Fischbeck),|
VSj1,Tradgardsmastaren,1912,Seastrom,PN:,SSvenska Biografteaten,bws,Dram,aw,lc,Alt(The Broken Spring Rose; USA),|
VSj3,The Phantom Carriage,1920,Seastrom,PN:,SU:,bws,Ctxx,aw,lc,,|
VSj5,He Who gets Slapped,1924,Seastrom,PN:,SU:,bws,Ctxx,aw,lc,,|
VSj6,The Scarlet Letter,1926,Seastrom,PN:,SMGM,bws,Dram,aw,New England; T(1700),W(Francis Marion) B(Hawthorne),|
VSj7,The Divine Woman,1927,Seastrom,PN:,SMGM,bws,BioP,H*,France,|
VSj8,The Wind,1927,Seastrom,PN:Lars Hanson,SMGM,sbw,Dram,H***,"prarie, TX","Nt(bnw in 1928, reissued 1984) W(Franz Mars) V(C.Gibbons, Edward Witherspoon) M(Arthur Kleiner) Er(P2, sp)",|
Z1210,Within the Law,1912,Unknown12,PU:,SU:,prc,CnR,,,,
Z1220,Within the Law,1917,Unknown12,PU:,SU:,prc,CnR,,,,|
Z1230,Within the Law,1923,Unknown12,PU:,SU:,prc,CnR,,,,|
ElR10,The Last Days of Pompeii,1913,Rodolfo,PN:,SAmbrosio,bws,Dram,aw,lc,B(BulwerLytton),|
NOx10,Il Cadavere Vivente,1913,Oxilia,PN:,SSavoia,bws,Ctxx,aw,lc,CoD(Oreste Mentasti),|
NOx20,Rhapsodia Satanica,1917,Oxilia,PN:,SCines,bws,Romt,aw,lc,B(: Faust) M(Pietro Mascagni),|
AcG10,"Fedora, or Piu Forte dell'Odio e Amore",1913,Gonsalvi,PN:,SAquila,bws,DRam,aw,lc,,|
BuG10,Blade O'Grass,1915,George,PN:,SEdison,bws,West,aw,lc,Le(42min),|
CDM0,California,1913,DeMille,PN:Lasky,SU:,n.a.,Musc,aw,,"Nt(play, not a movie)",|
CDM1,The Squaw Man,1913,DeMille,PN:Lasky,SFeature Play,bws,West,aw,"csd, West",CoD(Oscar Apfel) B(Edwin Milton Royle) C(Alfred Gandolfi) Le(72min),|
CDM3,The Virginian,1914,DeMille,PN:Lasky,SFeature Play,bws,Dram,aw,lc,B(Owen Wister) C(Alvin Wyckoff),|
CDM5,Brewster's Millions,1914,DeMille,Lasky,SFeature Play,bws,Dram,aw,lc,,|
CDM6,Rose of the Rancho,1914,DeMille,Lasky,SFeature Play,bws,Dram,aw,lc,,|
CDM7,The Ghost Breaker,1914,DeMille,Lasky,SFeature Play,bws,Dram,aw,lc,,|
CDM8,Call of the North,1915,DeMille,PN:,SU:,prc,CTxx,,,,|
CDM9,The Girl of the Golden West,1915,DeMille,,"SFeature Play, Paramount",bws,Dram,,West,Le(70m) W(DeMille) C(Alvin Wyckoff) B(David Belasco) Seen(17Nov1993),|
CDM10,The Wild Goose Chase,1915,DeMille,PN:,SU:,prc,Ctxx,aw,lc,,|
CDM11,The Warrens of Virginia,1915,DeMille,PN:,SU:,prc,Ctxx,aw,lc,,|
CDM12,The Arab,1915,DeMille,PN:,SU:,prc,Ctxx,aw,lc,,|
CDM13,The Goose Girl,1915,DeMille,PN:,SU:,prc,Ctxx,aw,lc,,|
CDM15,Carmen,1915,DeMille,PN:,SU:,bws,Dram,,Spain,CoD(Walsh) Le(60m),|
CDM16,Maria Rosa,1915,DeMille,PN:,SU:,prc,CTxx,,,,|
CDM17,The Captive,1915,DeMille,PN:,SFeature Play,bws,Dram,,Montenegro; T(1912),C(Alvin Wyckoff) Le(65m),|
CDM18,The Cheat,1915,DeMille,PN:,SFeature Play,bws,Dram,aw,lc,"W(Hector Turnbull, Jeanie McPherson) C(Alvin Wyckoff) Le(60m) Nt(Changed in 1918 to exonerate Japan)",|
CDM19,The Trail of the Lonesome Pine,1916,DeMille,PN:,SU:,prc,Dram,aw,Ozarks,,|
CDM22,"Joan, the Woman",1917,DeMille,PN:,SU:,bws,Dram,aw,,,|
CDM32,The Squaw Man,1918,DeMille,PN:,SU:,bws,West,aw,"csd, West",,|
CDM40,The Affairs of Anatol,1921,DeMille,PN:,SParamount,bws,Romt,aw,"NYC, NY",B(Arthur Schnitzler),|
CDM44,Adam's Rib,1923,DeMille,PN:,SMGM,prc,Ctxx,aw,lc,,|
CDM45,The Ten Commandments,1923,DeMille,DeMille,SU:,bws,Epic,,"Egypt, Palestine",,|
CDM51,The King of Kings,1927,deMille,deMille,SPath\'e,sbw,Epic,H**,Palestine,Nt(Has many reproductions of famous paintings),|
CDM52,Madame Satan,1930,DeMille,PN:,SU:,sbw,,,"dirigible, NYC, NY",,|
CDM54,The Godless Girl,1931,DeMille,PN:,SU:,sbw,,,,Nt(some sound scenes added later),|
CDM55,The Squaw Man,1931,DeMille,PN:,SMGM,bws,Dram,aw,"csd, West",,|
CDM56,The Sign of the Cross,1932,DeMille,DeMille,SParamount,bnw,Epic,H***,"Rome, Italy",C(Karl Struss; AAN),|
CDM59,Cleopatra,1934,DeMille,deMille,SParamount,bnw,Dram,"AAN,H**",Egypt,C(Victor Milner;AA),|
CDM60,The Crusades,1935,DeMille,PN:,SU:,prc,Ctxx,aw,lc,,|
CDM64,The Plainsman,1936,DeMille,Zukor,Paramount,bnw,West,,"St.Louis, MO; KA; T(1850)",C(Milner),|
CDM68,The Buccaneer,1938,DeMille,PN:,SU:,prc,"Epic, Advt",-H,T(1812),,|
CDM70,Union Pacific,1939,DeMille,deMille,SParamount,bnw,,H**,West,nt(last deMille bnw),|
CDM73,Union Pacific,1939,DeMille,deMille,SParamount,bnw,,H**,West,nt(last deMille bnw),|
CDM75,Reap the Wild Wind,1942,DeMille,PN:,SU:,col,Epic,aw,lc,,|
CDM77,Unconquered,1947,DeMille,deMille,SParamount,\Tcol,Epic,H,USA; T(1720),"M(Victor Young) B(Neil H. Swanson) W(Charles Benney, Frederic M. Frank, Jesse Lasky~jr.)",|
CDM79,The Greatest Show on Earth,1952,DeMille,PN:,SParamount,col,Epic,AA,circus,Inc(12M),|
CDM80,The Ten Commandments,1956,DeMille,PN:Henry Wilcoxon,SParamount,\Tcol \VsVis,Epic,"AAN, H*",Egypt; Palestine,Seen(26Mar1989) Le(219Min) C(Loyal Griggs:AAN),|
EGz10,Anthony and Cleopatra,1913,Guazzoni,PN:,SCines,bws,Dram,aw,lc,B(Shakespeare),|
GBS10,The Perils of Pauline,1913,Seitz,PN:,SU:,sbw,Dram,aw,lc,Er(1913?),|
GBS20,The Fatal Ring,1917,Seitz,PN:,SU:,sbw,Dram,aw,lc,,|
GBS30,Velvet Fingers,1921,Seitz,PN:,SU:,,Dram,aw,lc,Er(1921?),|
GBS40,The Sky Ranger,1925,Seitz,PN:,SU:,,Dram,aw,lc,Er(1925?),|
GBS42,The Vanishing American,1925,Seitz,PN:,SParamount,bws,Docu,aw,West,B(Zane Grey),|
GBS90,The Woman in his Life,1935,Seitz,PN:,SMGM,,Dram,aw,lc,,|
GBS92,The Last of the Mohicans,1936,Seitz,PN:Edward Small,SReliance,bnw,"Dram,West",H,"csd, NY; T(1757)",M(Roy Webb) B(James Fenimore Cooper) Seen(4Dec1992),|
GBS93,A Family Affair,1936,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 1),|
GBS95,You're Only Young Once,1938,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 2),|
GBS96,Judge Hardy's Children,1938,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 3),|
GBS97,Love Finds Andy Hardy,1938,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 4),|
GBS98,Out West With the Hardys,1938,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 5),|
GBS100,6000 Enemies,1939,Seitz,PN:Lucien Hubbard,SMGM,bnw,Dram,H,,Seen(May1989),|
GBS102,The Hardys Ride High,1939,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 6),|
GBS103,Judge Hardy and Son,1939,Seitz,PN:,SMGM,bnw,Dram,H,lc,Ser(Andy Hardy; 8),|
GBS110,Andy Hardy Meets a Debutante,1939,Seitz,PN:,SMGM,bnw,Comd,H,lc,Ser(Andy Hardy; 9),|
GBS115,Kit Carson,1940,Seitz,PN:,SMGM,bnw,West,aw,West,,|
GBS120,Sky Murder,1940,Seitz,PN:,SMGM,bnw,Dram,aw,lc,,|
GBS130,Andy Hardy's Private Secretary,1941,Seitz,PN:,SMGM,bnw,Comd,H,lc,Ser(Andy Hardy; 10),|
GBS132,Life Begins for Andy Hardy,1941,Seitz,PN:,SMGM,bnw,Comd,H,lc,Ser(Andy Hardy; 11),|
GBS140,China Caravan,1942,Seitz,PN:,SMGM,bnw,Dram,H-,lc,,|
GBS144,The Courtship of Andy Hardy,1942,Seitz,PN:,SMGM,bnw,Comd,H,lc,Ser(Andy Hardy; 12),|
GBS145,Andy Hardy's Double Life,1942,Seitz,PN:,SMGM,bnw,Comd,H,lc,Ser(Andy Hardy; 13),|
GBS150,Andy Hardy's Blonde Trouble,1944,Seitz,PN:,SMGM,bnw,Comd,H,lc,Ser(Andy Hardy; 14),|
BHd10,East Lynne,1913,Haldane,William George Barker,SU:,bws,Dram,aw,lc,B(Mrs.~Henry Wood) Le(1h+) Er(1916),|
DGP1,Raja Harishchandra,1913,Phalke,PN:,SU:,bws,Dram,aw,lc,Nt(first Indian movie),|
HBn5,Ivanhoe,1913,Brenon,PN:,SU:,bws,Actn,aw,lc,,|
HBn8,Neptune's Daughter,1914,Brenon,PN:,SUniversal,bws,Fant,aw,Bermuda,Cost(50K),|
HBn10,The Kreuzer Sonata,1913,Brenon,PN:,SU:,bws,Ctxx,aw,lc,,|
HBn12,War Brides,1916,Brenon,PN:,SU:,bws,Ctxx,aw,lc,,|
HBn15,The Passing of the Third Floor Back,1918,Brenon,PN:,SU:,bws,Ctxx,aw,lc,,|
HBn18,The Sign on the Door,1921,Brenon,PN:,SU:,prc,Ctxx,aw,lc,,|
HBn21,The Spanish Dancer,1923,Brenon,PN:,SU:,prc,Ctxx,aw,lc,,|
HBn25,Peter Pan,1924,Brenon,,SParamount,bnw,Romt,aw,lc,B(J.M.Barrie) W(Willis goldbeck) C(Howe),|
HBn30,Beau Geste,1926,Brenon,Brenon,SParamount,"bws, col",Actn,H**,"desert, North Africa",B(P.C. Wren),|
HBn40,Beau Ideal,1931,Brenon,PN:William leBaron,SParamount,bnw,Actn,H,"desert, North Africa",,|
HHS1,The White Goddess of the Wangora,1913,Schomburgk,Schomburgk,"S, SD:MPSA",bws,Dram,,Togoland,C(James Samuel Hodgson),|
HHS3,The Heroes of Paratau,1914,Schomburgk,Schomburgk,"S, SD:MPSA",bws,Dram,,Togoland,,|
HHS6,The Outlaw of the Sudu Mountains,1914,Schomburgk,Schomburgk,"S, SD:MPSA",bws,Dram,,Togoland,,|
HHS8,Odd Man Out,1914,Schomburgk,Schomburgk,"S, SD:MPSA",bws,Dram,,Togoland,,|
HHS9,Deutsche bin Sudan,1914,Schomburgk,Schomburgk,SU:,bws,Docu,,Togoland,,|
HHS12,Eine Weisse unter Kannibalen,1919,Schomburgk,Schomburgk,SU:,bws,Docu,,Africa,,|
HHS13,Ein Abenteurer,1920,Schomburgk,Schomburgk,SU:,bws,Docu,,Africa,,|
HHS14,Tropengift,1920,Schomburgk,Schomburgk,SU:,bws,Docu,,Africa,,|
HHS15,Goldfieber,1920,Schomburgk,Schomburgk,SU:,bws,Docu,,Africa,,|
HHS16,Im Kampf um die Diamantfelder,1921,Schomburgk,Schomburgk,SU:,bws,Docu,,Africa,,|
HHS22,Geheimbundrieten der Frauen in Liberia,1923,Schomburgk,Schomburgk,SU:,bws,Docu,,Liberia,,|
HHS24,Mensch und Tier im Urwald,1924,Schomburgk,Schomburgk,SU:,bws,Docu,,Liberia,,|
HHS26,"Fahrten und Fahrten",1926,Schomburgk,Schomburgk,SU:,bws,Docu,,Togoland,,|
HHS28,Verlorenes Land,1926,Schomburgk,Schomburgk,SU:,bws,Docu,,Togoland,,|
HHS36,Das Letzte Paradis,1932,Schomburgk,Schomburgk,SU:,bw,Docu,,Liberia,,|
HHS38,Die Wildnis Stribt,1933,Schomburgk,Schomburgk,SU:,bw,Docu,,Liberia,Er(19xx),|
HHS48,"Fauen, Masken, und Damonen",1948,Schomburgk,Schomburgk,SU:,bw,Docu,,Liberia,,|
HHS50,Abschied von Afrika,1956,Schomburgk,Schomburgk,SU:,bw,Docu,,Africa,,|
PW1,The Student of Prag,1913,Wegener,PN:,SU:,prc,Ctxx,aw,lc,,|
PW2,"Rubezahls Hochzeit",1916,Wegener,PN:,SU:,prc,Ctxx,aw,lc,,|
PW3,"Der Rattenfanger von Hameln",1918,Wegener,PN:,SU:,prc,Ctxx,aw,lc,,|
PW4,Der Golem,1920,Wegener,PN:,SUFA,sbw,Ctxx,aw,lc,,|
